Contestant	Total Score	Albania	Armenia	Australia	Austria	Azerbaijan	Belarus	Belgium	Cyprus	Czech Republic	Denmark	Estonia	Macedonia	Finland	France	Georgia	Germany	Greece	Hungary	Iceland	Ireland	Israel	Italy	Latvia	Lithuania	Malta	Moldova	Montenegro	Norway	Poland	Portugal	Romania	Russia	San Marino	Serbia	Slovenia	Spain	Sweden	Switzerland	Netherlands	United Kingdom
Slovenia	39	-	-	-	-	3	-	-	-	-	-	-	8	1	-	-	-	-	-	2	-	6	-	3	4	-	-	4	1	1	-	-	-	-	5		-	1	-	-	-
France	4	-	3	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
Israel	97	5	-	2	2	7	2	-	6	-	-	-	-	3	-	1	5	-	-	5	-		8	1	-	5	-	3	4	4	7	1	-	2	6	-	1	4	3	5	5
Estonia	106	4	-	3	6	4	7	2	2	-	6		2	10	-	2	2	-	7	1	-	3	2	6	8	3	-	1	3	2	1	-	7	-	2	-	3	3	-	4	-
United Kingdom	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	3	-	-	-	-	-	-
Armenia	34	-		-	-	-	4	3	-	2	-	-	3	-	3	12	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-
Lithuania	30	-	-	-	-	-	-	-	-	-	1	2	-	-	-	3	-	-	-	-	7	-	-	7		-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	4
Serbia	53	2	-	5	3	-	-	-	-	3	-	-	10	-	-	-	-	-	-	-	-	2	3	-	-	-	-	12	-	-	-	-	-	-		6	-	-	5	1	1
Norway	102	-	-	4	4	-	-	-	-	-	3	4	-	4	-	-	4	-	4	10	4	-	5	2	5	2	-	-		3	6	6	-	6	-	4	2	7	10	3	-
Sweden	365	7	7	12	7	6	10	12	10	10	12	10	5	12	8	7	10	4	10	12	10	10	12	12	10	10	8	5	12	12	8	8	8	7	8	12	8		12	10	12
Cyprus	11	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
Australia	196	3	1		12	-	6	4	4	-	8	5	-	5	2	-	7	5	8	8	5	7	6	5	3	6	4	-	10	8	-	2	4	8	3	2	7	12	8	8	10
Belgium	217	1	4	6	5	-	8		7	6	7	7	1	7	12	6	8	7	12	4	2	4	7	4	7	-	6	-	7	5	5	7	10	5	4	3	6	10	2	12	3
Austria	0	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Greece	23	10	5	-	-	-	-	-	8	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Montenegro	44	6	8	-	-	2	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	12	10	-	2	-	-	-
Germany	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Poland	10	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	3	-	1	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	2
Latvia	186	-	2	7	1	5	5	7	3	5	4	6	-	6	7	4	6	3	5	7	12	-	4		12	4	2	-	8	10	2	5	2	12	1	7	4	5	4	2	7
Romania	35	-	-	-	-	-	-	5	1	-	2	-	-	-	-	-	-	-	1	-	-	5	-	-	-	-	12	-	-	-	4		-	-	-	-	5	-	-	-	-
Spain	15	-	-	-	-	1	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	1	-	-	-	-	1	2	-	-	3	-	1	-	-	-		-	1	1	1
Hungary	19	-	-	-	-	-	-	-	-	1	-	8	-	-	1	-	1	-		-	-	-	-	-	-	-	-	-	-	-	-	4	-	4	-	-	-	-	-	-	-
Georgia	51	-	10	1	-	10	3	1	-	4	-	1	-	-	-		-	2	3	-	-	-	-	-	6	-	5	-	-	-	-	-	5	-	-	-	-	-	-	-	-
Azerbaijan	49	-	-	-	-		-	-	-	12	-	-	-	-	-	10	-	-	-	-	-	-	-	-	2	8	3	8	-	-	-	3	3	-	-	-	-	-	-	-	-
Russia	303	8	12	10	8	12	12	10	5	8	10	12	6	8	10	5	12	8	6	3	8	8	10	10	-	7	10	7	2	6	10	10		-	10	5	10	6	7	6	6
Albania	34		-	-	-	-	-	6	-	-	-	-	12	-	-	-	-	6	-	-	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-
Italy	292	12	6	8	10	8	1	8	12	7	5	3	7	2	6	8	3	12	2	6	6	12		8	1	12	7	6	5	7	12	12	12	10	7	8	12	8	6	7	8
